Tue Oct 25 20:01:19 UTC 2022 Beginning cisv8 baseline scan
Tue Oct 25 20:01:30 UTC 2022 pwpolicy_account_inactivity_enforce passed (Result: 35, Expected: {integer: 35})
Tue Oct 25 20:01:30 UTC 2022 pwpolicy_account_lockout_enforce failed (Result: no, Expected: {string: yes})
Tue Oct 25 20:01:30 UTC 2022 pwpolicy_account_lockout_timeout_enforce passed (Result: yes, Expected: {string: yes})
Tue Oct 25 20:01:30 UTC 2022 pwpolicy_alpha_numeric_enforce passed (Result: 1, Expected: {integer: 1})
Tue Oct 25 20:01:30 UTC 2022 pwpolicy_history_enforce passed (Result: yes, Expected: {string: yes})
Tue Oct 25 20:01:30 UTC 2022 pwpolicy_lower_case_character_enforce passed (Result: yes, Expected: {string: yes})
Tue Oct 25 20:01:30 UTC 2022 pwpolicy_max_lifetime_enforce failed (Result: 6060, Expected: {integer: 60})
Tue Oct 25 20:01:30 UTC 2022 pwpolicy_minimum_length_enforce passed (Result: true, Expected: {string: true})
Tue Oct 25 20:01:31 UTC 2022 pwpolicy_minimum_lifetime_enforce passed (Result: yes, Expected: {string: yes})
Tue Oct 25 20:01:31 UTC 2022 pwpolicy_simple_sequence_disable passed (Result: 1, Expected: {integer: 1})
Tue Oct 25 20:01:31 UTC 2022 pwpolicy_special_character_enforce passed (Result: true, Expected: {string: true})
Tue Oct 25 20:01:31 UTC 2022 pwpolicy_upper_case_character_enforce passed (Result: yes, Expected: {string: yes})
Tue Oct 25 20:01:31 UTC 2022 sysprefs_ad_tracking_disable passed (Result: true, Expected: {string: true})
Tue Oct 25 20:01:31 UTC 2022 sysprefs_afp_disable passed (Result: 1, Expected: {integer: 1})
Tue Oct 25 20:01:32 UTC 2022 sysprefs_bluetooth_disable passed (Result: true, Expected: {string: true})
Tue Oct 25 20:01:32 UTC 2022 sysprefs_bluetooth_sharing_disable passed (Result: 0, Expected: {boolean: 0})
Tue Oct 25 20:01:32 UTC 2022 sysprefs_content_caching_disable passed (Result: false, Expected: {string: false})
Tue Oct 25 20:01:32 UTC 2022 sysprefs_critical_update_install_enforce passed (Result: true, Expected: {string: true})
Tue Oct 25 20:01:32 UTC 2022 sysprefs_diagnostics_reports_disable passed (Result: true, Expected: {string: true})
Tue Oct 25 20:01:32 UTC 2022 sysprefs_filevault_enforce failed (Result: 0, Expected: {integer: 1})
Tue Oct 25 20:01:33 UTC 2022 sysprefs_find_my_disable passed (Result: true, Expected: {string: true})
Tue Oct 25 20:01:33 UTC 2022 sysprefs_firewall_enable passed (Result: 1, Expected: {integer: 1})
Tue Oct 25 20:01:33 UTC 2022 sysprefs_firewall_stealth_mode_enable passed (Result: 1, Expected: {integer: 1})
Tue Oct 25 20:01:33 UTC 2022 sysprefs_guest_access_afp_disable passed (Result: 1, Expected: {integer: 1})
Tue Oct 25 20:01:33 UTC 2022 sysprefs_guest_access_smb_disable passed (Result: 0, Expected: {boolean: 0})
Tue Oct 25 20:01:33 UTC 2022 sysprefs_guest_account_disable passed (Result: true, Expected: {string: true})
Tue Oct 25 20:01:34 UTC 2022 sysprefs_improve_siri_dictation_disable passed (Result: 2, Expected: {integer: 2})
Tue Oct 25 20:01:34 UTC 2022 sysprefs_internet_sharing_disable passed (Result: true, Expected: {string: true})
Tue Oct 25 20:01:34 UTC 2022 sysprefs_location_services_disable passed (Result: 0, Expected: {boolean: 0})
Tue Oct 25 20:01:34 UTC 2022 sysprefs_media_sharing_disabled passed (Result: 2, Expected: {integer: 2})
Tue Oct 25 20:01:34 UTC 2022 sysprefs_power_nap_disable failed (Result: , Expected: {integer: 0})
Tue Oct 25 20:01:34 UTC 2022 sysprefs_rae_disable passed (Result: 1, Expected: {integer: 1})
Tue Oct 25 20:01:35 UTC 2022 sysprefs_screen_sharing_disable passed (Result: 1, Expected: {integer: 1})
Tue Oct 25 20:01:35 UTC 2022 sysprefs_screensaver_timeout_enforce passed (Result: 1200, Expected: {integer: 1200})
Tue Oct 25 20:01:35 UTC 2022 sysprefs_siri_disable passed (Result: false, Expected: {string: false})
Tue Oct 25 20:01:35 UTC 2022 sysprefs_smbd_disable passed (Result: 1, Expected: {integer: 1})
Tue Oct 25 20:01:35 UTC 2022 sysprefs_time_server_configure passed (Result: time-a.nist.gov,time-b.nist.gov, Expected: {string: time-a.nist.gov,time-b.nist.gov})
Tue Oct 25 20:01:35 UTC 2022 sysprefs_time_server_enforce passed (Result: true, Expected: {string: true})
