Sat Oct 22 22:01:43 UTC 2022 pwpolicy_simple_sequence_disable passed (Result: 1, Expected: {integer: 1})
Sat Oct 22 22:01:44 UTC 2022 pwpolicy_special_character_enforce passed (Result: true, Expected: {string: true})
XPath set is empty
Sat Oct 22 22:01:44 UTC 2022 pwpolicy_upper_case_character_enforce failed (Result: , Expected: {string: yes})
Sat Oct 22 22:01:44 UTC 2022 sysprefs_ad_tracking_disable passed (Result: true, Expected: {string: true})
Sat Oct 22 22:01:45 UTC 2022 sysprefs_afp_disable passed (Result: 1, Expected: {integer: 1})
Sat Oct 22 22:01:45 UTC 2022 sysprefs_bluetooth_disable passed (Result: true, Expected: {string: true})
Sat Oct 22 22:01:46 UTC 2022 sysprefs_bluetooth_sharing_disable passed (Result: 0, Expected: {boolean: 0})
Sat Oct 22 22:01:46 UTC 2022 sysprefs_content_caching_disable passed (Result: false, Expected: {string: false})
Sat Oct 22 22:01:47 UTC 2022 sysprefs_critical_update_install_enforce passed (Result: true, Expected: {string: true})
Sat Oct 22 22:01:47 UTC 2022 sysprefs_diagnostics_reports_disable passed (Result: true, Expected: {string: true})
Sat Oct 22 22:01:47 UTC 2022 sysprefs_filevault_enforce failed (Result: 0, Expected: {integer: 1})
Sat Oct 22 22:01:48 UTC 2022 sysprefs_find_my_disable passed (Result: true, Expected: {string: true})
Sat Oct 22 22:01:48 UTC 2022 sysprefs_firewall_enable passed (Result: 1, Expected: {integer: 1})
Sat Oct 22 22:01:48 UTC 2022 sysprefs_firewall_stealth_mode_enable passed (Result: 1, Expected: {integer: 1})
Sat Oct 22 22:01:49 UTC 2022 sysprefs_guest_access_afp_disable passed (Result: 1, Expected: {integer: 1})
Sat Oct 22 22:01:50 UTC 2022 sysprefs_guest_access_smb_disable passed (Result: 0, Expected: {boolean: 0})
Sat Oct 22 22:01:50 UTC 2022 sysprefs_guest_account_disable passed (Result: true, Expected: {string: true})
Sat Oct 22 22:01:51 UTC 2022 sysprefs_improve_siri_dictation_disable passed (Result: 2, Expected: {integer: 2})
