Sat Oct 22 19:59:01 UTC 2022 Beginning cisv8 baseline scan
Sat Oct 22 19:59:27 UTC 2022 pwpolicy_simple_sequence_disable failed (Result: 0, Expected: {integer: 1})
Sat Oct 22 19:59:27 UTC 2022 pwpolicy_special_character_enforce failed (Result: false, Expected: {string: true})
Sat Oct 22 19:59:27 UTC 2022 pwpolicy_upper_case_character_enforce failed (Result: , Expected: {string: yes})
Sat Oct 22 19:59:28 UTC 2022 sysprefs_ad_tracking_disable failed (Result: , Expected: {string: true})
Sat Oct 22 19:59:28 UTC 2022 sysprefs_afp_disable failed (Result: 0, Expected: {integer: 1})
Sat Oct 22 19:59:29 UTC 2022 sysprefs_bluetooth_disable failed (Result: , Expected: {string: true})
Sat Oct 22 19:59:29 UTC 2022 sysprefs_bluetooth_sharing_disable failed (Result: , Expected: {boolean: 0})
Sat Oct 22 19:59:30 UTC 2022 sysprefs_content_caching_disable failed (Result: , Expected: {string: false})
Sat Oct 22 19:59:30 UTC 2022 sysprefs_critical_update_install_enforce passed (Result: true, Expected: {string: true})
Sat Oct 22 19:59:31 UTC 2022 sysprefs_diagnostics_reports_disable failed (Result: false, Expected: {string: true})
Sat Oct 22 19:59:31 UTC 2022 sysprefs_filevault_enforce failed (Result: 0, Expected: {integer: 1})
Sat Oct 22 19:59:32 UTC 2022 sysprefs_find_my_disable failed (Result: false, Expected: {string: true})
Sat Oct 22 19:59:32 UTC 2022 sysprefs_firewall_enable failed (Result: 0, Expected: {integer: 1})
Sat Oct 22 19:59:32 UTC 2022 sysprefs_firewall_stealth_mode_enable failed (Result: 0, Expected: {integer: 1})
Sat Oct 22 19:59:33 UTC 2022 sysprefs_guest_access_afp_disable failed (Result: 0, Expected: {integer: 1})
Sat Oct 22 19:59:33 UTC 2022 sysprefs_guest_access_smb_disable failed (Result: , Expected: {boolean: 0})
Sat Oct 22 19:59:33 UTC 2022 sysprefs_guest_account_disable failed (Result: , Expected: {string: true})
Sat Oct 22 19:59:34 UTC 2022 sysprefs_improve_siri_dictation_disable failed (Result: , Expected: {integer: 2})
Sat Oct 22 19:59:34 UTC 2022 sysprefs_internet_sharing_disable failed (Result: , Expected: {string: true})
Sat Oct 22 19:59:35 UTC 2022 sysprefs_location_services_disable failed (Result: 1, Expected: {boolean: 0})
Sat Oct 22 19:59:35 UTC 2022 sysprefs_media_sharing_disabled passed (Result: 2, Expected: {integer: 2})
Sat Oct 22 19:59:36 UTC 2022 sysprefs_power_nap_disable failed (Result: , Expected: {integer: 0})
Sat Oct 22 19:59:36 UTC 2022 sysprefs_rae_disable failed (Result: 0, Expected: {integer: 1})
Sat Oct 22 19:59:36 UTC 2022 sysprefs_screen_sharing_disable failed (Result: 0, Expected: {integer: 1})
Sat Oct 22 19:59:37 UTC 2022 sysprefs_screensaver_timeout_enforce failed (Result: , Expected: {integer: 1200})
Sat Oct 22 19:59:37 UTC 2022 sysprefs_siri_disable failed (Result: , Expected: {string: false})
Sat Oct 22 19:59:38 UTC 2022 sysprefs_smbd_disable failed (Result: 0, Expected: {integer: 1})
Sat Oct 22 19:59:38 UTC 2022 sysprefs_time_server_configure failed (Result: , Expected: {string: time-a.nist.gov,time-b.nist.gov})
Sat Oct 22 19:59:38 UTC 2022 sysprefs_time_server_enforce failed (Result: , Expected: {string: true})
